casenew,weighta,P550tpr,P344pr,P425r,A172,A093r,A094r,A121r,SexHRP,A049r,G018r,G019r,Gorx,weightar
14905,2.975220942,326.3125917,523.08,Other income,Yes,Full-time working,Routine and manual occupations,Public rented,Male,2 person,2 adults,No children,Eastern,0.570173232
14904,3.957583615,485.9161271,604.92,Earned income,Yes,Full-time working,Routine and manual occupations,Owned,Male,3 person,2 adults,One child,East Midlands,0.758433839
14904,4.681592753,197.1251125,348.18,Earned income,Yes,Full-time working,Intermediate occupations,Owned,Female,1 person,1 adult,No children,Wales,0.89718341
14898,3.987007548,173.99,243.652,Other income,No,Economically inactive,Not classified for other reasons,Public rented,Male,2 person,2 adults,No children,East Midlands,0.76407266
14892,3.547597489,560.4683277,990.17,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Female,2 person,2 adults,No children,Yorkshire and the Humber,0.679863837
14892,5.395978391,479.6968441,1184.99,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,3 person,2 adults,One child,Scotland,1.034088728
14885,4.359907211,299.1841429,189.492,Other income,Yes,Economically inactive,Intermediate occupations,Public rented,Female,2 person,1 adult,One child,Wales,0.835535388
14878,4.866109081,435.305,467.512,Other income,Yes,Economically inactive,Not classified for other reasons,Private rented,Male,1 person,1 adult,No children,Eastern,0.932544237
14875,5.730572318,305.9577537,781.14,Earned income,No,Full-time working,Routine and manual occupations,Owned,Male,2 person,2 adults,No children,West Midlands,1.098210521
14873,3.744772532,1105.501694,750.6295,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,2 person,2 adults,No children,South East,0.717650588
14868,4.902164375,513.6083016,1184.99,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,2 person,2 adults,No children,London,0.939453896
14865,6.819742674,302.1937524,372.62,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Female,3 person,3 adults,No children,North West and Merseyside,1.30693982
14859,3.077125005,1175,1078.07,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,5 person or more,2 adults,Two or more children,West Midlands,0.589702191
14856,4.67573699,263.3744396,160.132,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Male,1 person,1 adult,No children,East Midlands,0.896061208
14855,3.673630558,967.6438853,1184.99,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Male,2 person,2 adults,No children,Eastern,0.704016895
14854,5.453159044,972.9387368,1184.99,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Female,4 person,3 adults,One child,South East,1.045046865
14853,5.027338522,263.1241822,250.3,Other income,Yes,Part-time working,Routine and manual occupations,Private rented,Female,2 person,1 adult,One child,London,0.963442349
14847,6.628714541,511.0616636,1184.99,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,2 person,2 adults,No children,Eastern,1.270331067
14847,4.010498333,828.8697742,1184.99,Other income,Yes,Full-time working,Intermediate occupations,Owned,Male,2 person,2 adults,No children,Yorkshire and the Humber,0.768574449
14844,4.571759711,419.9354339,621.19,Other income,Yes,Part-time working,"Higher managerial, administrative and professional occupations",Owned,Male,2 person,2 adults,No children,Eastern,0.876134936
14838,3.65907619,520.6301298,972.67,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,2 person,2 adults,No children,North West and Merseyside,0.701227686
14838,3.511219431,578.4724764,601.95,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Male,2 person,2 adults,No children,Wales,0.672892323
14838,7.499314217,1175,1184.99,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,2 person,2 adults,No children,London,1.437173342
14834,10.48356819,1116.508131,1184.99,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Private rented,Male,2 person,2 adults,No children,London,2.00907767
14833,5.058677548,99.17,148.042,Other income,Yes,Economically inactive,Not classified for other reasons,Public rented,Female,1 person,1 adult,No children,North East,0.96944818
14832,5.516299392,420.3158798,665.77,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,5 person or more,2 adults,Two or more children,South East,1.057147121
14831,6.040720946,186.29,253.884,Other income,No,Economically inactive,Not classified for other reasons,Private rented,Male,2 person,2 adults,No children,South East,1.157647601
14824,4.622743445,437.7217767,617.919,Other income,Yes,Unemployed and work related Government Training Programmes,Routine and manual occupations,Owned,Male,5 person or more,4 and more adults,Two or more children,West Midlands,0.885905492
14818,4.571759711,436.7829185,629.135,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,2 person,2 adults,No children,Eastern,0.876134936
14814,4.189109842,134.4592227,319.704,Other income,No,Economically inactive,Not classified for other reasons,Owned,Male,2 person,2 adults,No children,Wales,0.802803672
14810,3.511605627,124.64,161.96,Other income,No,Economically inactive,Not classified for other reasons,Public rented,Female,1 person,1 adult,No children,South West,0.672966334
14808,5.264053072,254.8244105,684.41,Earned income,Yes,Part-time working,Routine and manual occupations,Owned,Male,5 person or more,4 and more adults,One child,West Midlands,1.008806476
14808,5.165169755,379.9748443,1184.99,Earned income,No,Full-time working,Routine and manual occupations,Private rented,Male,3 person,3 adults,No children,Yorkshire and the Humber,0.989856414
14806,5.875955,272.9792003,192.6045,Other income,Yes,Economically inactive,Routine and manual occupations,Public rented,Male,1 person,1 adult,No children,South East,1.12607175
14803,6.070836472,433.6201518,473.814,Other income,No,Economically inactive,Not classified for other reasons,Owned,Female,2 person,2 adults,No children,Scotland,1.163418959
14800,3.903396678,919.2189903,1043.4,Earned income,Yes,Part-time working,"Higher managerial, administrative and professional occupations",Owned,Female,4 person,2 adults,Two or more children,North West and Merseyside,0.74804942
14788,5.244800579,660.1994636,1184.99,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,4 person,2 adults,Two or more children,Yorkshire and the Humber,1.005116916
14785,5.373781001,321.1284678,540.61,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,4 person,2 adults,Two or more children,London,1.029834806
14783,5.034731307,847.8041828,1184.99,Earned income,Yes,Full-time working,Routine and manual occupations,Owned,Male,3 person,2 adults,One child,London,0.964859107
14782,5.793559145,407.524521,808.0238462,Earned income,Yes,Full-time working,Routine and manual occupations,Public rented,Male,4 person,2 adults,Two or more children,South West,1.110281356
14780,3.66112084,250.7231836,378.41,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Male,2 person,2 adults,No children,South East,0.701619524
14778,2.934994579,348.7156392,420.1,Other income,Yes,Part-time working,Routine and manual occupations,Private rented,Female,5 person or more,2 adults,Two or more children,North East,0.562464226
14775,5.984002781,578.2014819,519.23,Earned income,Yes,Full-time working,Intermediate occupations,Owned,Male,1 person,1 adult,No children,Yorkshire and the Humber,1.146778096
14770,3.942174675,1100.196263,564.61,Earned income,Yes,Part-time working,"Higher managerial, administrative and professional occupations",Owned,Female,2 person,2 adults,No children,Scotland,0.75548086
14767,4.887895893,218.228212,399.26,Earned income,Yes,Part-time working,Routine and manual occupations,Public rented,Female,3 person,1 adult,Two or more children,Yorkshire and the Humber,0.936719475
14767,6.234370984,719.8343416,1184.99,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,3 person,3 adults,No children,South East,1.194758817
14763,4.708537879,574.6039758,570.9725,Earned income,Yes,Full-time working,Intermediate occupations,Private rented,Female,2 person,1 adult,One child,London,0.902347191
14762,6.399211444,93.1,260.492,Other income,No,Economically inactive,Not classified for other reasons,Owned,Female,1 person,1 adult,No children,Yorkshire and the Humber,1.226348948
14761,4.820544207,234.58,402.7015,Other income,No,Economically inactive,Not classified for other reasons,Owned,Male,2 person,2 adults,No children,North West and Merseyside,0.923812155
14760,3.764509696,706.1186842,50,Earned income,Yes,Part-time working,Routine and manual occupations,Owned,Female,2 person,2 adults,No children,West Midlands,0.72143303
14754,5.05096486,314.8423992,196.08,Earned income,Yes,Full-time working,Intermediate occupations,Owned,Male,1 person,1 adult,No children,East Midlands,0.967970116
14753,9.170374521,1175,1184.99,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Private rented,Male,2 person,2 adults,No children,London,1.757416401
14746,5.160293331,367.550275,829.46,Earned income,Yes,Full-time working,Intermediate occupations,Private rented,Female,3 person,2 adults,One child,North West and Merseyside,0.988921893
14741,3.918277177,428.0031753,370.98,Other income,Yes,Part-time working,Routine and manual occupations,Public rented,Female,2 person,2 adults,No children,Yorkshire and the Humber,0.750901128
14740,4.163721403,542.8974101,729.39,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Female,3 person,1 adult,Two or more children,South West,0.797938216
14737,6.830153556,259.0336508,373.2774359,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Private rented,Male,1 person,1 adult,No children,West Midlands,1.308934968
14726,5.673921773,455.6188438,529.76,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,2 person,2 adults,No children,East Midlands,1.087353974
14724,4.88818326,285.1070911,377.89,Other income,Yes,Part-time working,Routine and manual occupations,Public rented,Female,3 person,1 adult,Two or more children,London,0.936774546
14724,5.766789787,522.4935927,890.76,Earned income,Yes,Full-time working,Intermediate occupations,Owned,Male,3 person,3 adults,No children,Wales,1.105151259
14716,4.064015179,234.4152072,369.41,Earned income,No,Part-time working,"Higher managerial, administrative and professional occupations",Owned,Female,1 person,1 adult,No children,North West and Merseyside,0.778830452
14712,3.877028216,155.9470193,415.09,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Male,1 person,1 adult,No children,East Midlands,0.742996151
14710,4.195368669,426.2568293,534.61,Earned income,Yes,Full-time working,Intermediate occupations,Owned,Male,2 person,2 adults,No children,North West and Merseyside,0.804003118
14704,4.670353177,577.4839461,1184.99,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Female,2 person,2 adults,No children,Scotland,0.895029451
14704,4.036811382,1137.774719,649.1475,Earned income,Yes,Economically inactive,Not classified for other reasons,Owned,Male,3 person,2 adults,One child,North West and Merseyside,0.773617099
14703,3.761794654,581.5939299,582.144,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Male,2 person,2 adults,No children,South West,0.720912718
14700,4.759287059,64.41,101.35,Other income,No,Economically inactive,Not classified for other reasons,Public rented,Female,1 person,1 adult,No children,Wales,0.912072796
14694,3.432351298,646.0526484,930.3,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,5 person or more,2 adults,Two or more children,East Midlands,0.657777984
14693,6.365095999,688.485259,1184.99,Earned income,Yes,Economically inactive,Not classified for other reasons,Owned,Female,3 person,3 adults,No children,Eastern,1.219811042
14689,5.700141042,149.7901993,222.812,Other income,No,Economically inactive,Not classified for other reasons,Owned,Female,1 person,1 adult,No children,Eastern,1.092378652
14689,6.337122217,1175,1184.99,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Female,2 person,2 adults,No children,London,1.214450129
14686,4.193904744,554.0817158,1126.8375,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,4 person,2 adults,Two or more children,North West and Merseyside,0.80372257
14680,3.701536471,704.4203331,1015.92,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,5 person or more,2 adults,Two or more children,West Midlands,0.709364802
14678,4.657742488,493.475019,743.34,Earned income,Yes,Full-time working,Routine and manual occupations,Owned,Male,3 person,2 adults,One child,Eastern,0.89261273
14673,5.492804903,756.0252554,1184.99,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,1 person,1 adult,No children,London,1.052644622
14663,3.973424238,705.8477909,1006.305256,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,4 person,2 adults,Two or more children,Wales,0.761469546
14659,3.893715123,157.3633225,330.98,Other income,No,Economically inactive,Not classified for other reasons,Owned,Male,1 person,1 adult,No children,South East,0.746194041
14659,9.171629634,581.8510308,587.68,Earned income,Yes,Part-time working,Routine and manual occupations,Owned,Female,2 person,2 adults,No children,Eastern,1.757656932
14654,3.746816754,499.9616076,499.45,Earned income,Yes,Part-time working,Intermediate occupations,Owned,Female,3 person,1 adult,Two or more children,South East,0.718042344
14650,9.49422744,491.625,406.17,Other income,Yes,Part-time working,"Never worked and long term unemployed, students and occupation not stated",Private rented,Male,4 person,4 and more adults,No children,Scotland,1.81947978
14645,5.754413099,111.3397511,259.09,Other income,No,Economically inactive,Not classified for other reasons,Public rented,Male,2 person,2 adults,No children,Scotland,1.102779383
14644,6.832342769,361.7686819,902.4475,Earned income,Yes,Part-time working,"Higher managerial, administrative and professional occupations",Owned,Female,3 person,2 adults,One child,Yorkshire and the Humber,1.30935451
14641,4.898176626,340.8927064,1103.435,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,1 person,1 adult,No children,Eastern,0.938689681
14638,5.311453724,310.9295933,767.81,Earned income,Yes,Full-time working,Routine and manual occupations,Owned,Male,4 person,2 adults,Two or more children,Eastern,1.017890367
14637,4.095587579,166.04,174.69,Other income,Yes,Economically inactive,Intermediate occupations,Public rented,Female,1 person,1 adult,No children,East Midlands,0.784881006
14632,5.35369233,890.9763408,608.6225,Other income,Yes,Part-time working,Intermediate occupations,Owned,Female,2 person,2 adults,No children,South West,1.025985
14631,5.73178773,275.2429726,610.79,Earned income,Yes,Full-time working,Routine and manual occupations,Owned,Male,4 person,2 adults,Two or more children,Scotland,1.098443443
14630,10.61803711,79.32,165.962,Other income,No,Economically inactive,Not classified for other reasons,Public rented,Female,1 person,1 adult,No children,West Midlands,2.034847379
14629,5.620840528,663.8924924,964.55,Earned income,Yes,Full-time working,Routine and manual occupations,Owned,Male,3 person,2 adults,One child,East Midlands,1.077181451
14628,5.571475791,310.2255895,648.245,Earned income,Yes,Full-time working,Routine and manual occupations,Owned,Male,3 person,2 adults,One child,Scotland,1.067721161
14627,4.90359644,460.5283536,0,Other income,Yes,Unemployed and work related Government Training Programmes,Routine and manual occupations,Public rented,Female,2 person,2 adults,No children,Scotland,0.939728338
14626,10.36866257,1036.840203,1184.99,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,4 person,4 and more adults,No children,South West,1.987057084
14625,5.609508306,277.251021,322.37,Earned income,Yes,Full-time working,Intermediate occupations,Public rented,Female,3 person,2 adults,One child,West Midlands,1.075009737
14621,3.836107734,477.3392385,344.644,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Male,2 person,2 adults,No children,South East,0.735154124
14617,6.770551139,1175,1184.99,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Female,1 person,1 adult,No children,South West,1.297512723
14612,4.217943949,324.7341629,433.24,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Private rented,Female,1 person,1 adult,No children,East Midlands,0.808329459
14611,9.141794095,1175,950.02,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Private rented,Male,2 person,2 adults,No children,London,1.75193923
14610,4.234630856,331.6010304,753.34,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Private rented,Female,1 person,1 adult,No children,South East,0.811527348
14609,4.431788664,1175,1184.99,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Male,2 person,2 adults,No children,London,0.849310796
14608,5.487066518,791.4529545,1184.99,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,2 person,2 adults,No children,West Midlands,1.051544914
14605,4.320148765,205.3887437,216.5,Earned income,Yes,Full-time working,Intermediate occupations,Private rented,Female,1 person,1 adult,No children,West Midlands,0.827916055
14604,4.51082791,157.6310518,150.042,Other income,No,Economically inactive,Not classified for other reasons,Public rented,Female,1 person,1 adult,No children,Yorkshire and the Humber,0.864457927
14599,4.989638132,332.09,409.794,Other income,Yes,Economically inactive,Intermediate occupations,Public rented,Female,3 person,2 adults,One child,North West and Merseyside,0.956217422
14598,7.143149691,366.7969527,803.88,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,2 person,2 adults,No children,Wales,1.368917746
14593,7.255338154,662.2509298,1184.99,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,1 person,1 adult,No children,London,1.390417614
14593,9.923931536,428.8450127,1184.99,Earned income,Yes,Economically inactive,"Never worked and long term unemployed, students and occupation not stated",Public rented,Male,2 person,2 adults,No children,London,1.901828546
14592,5.106067017,234.7604793,331.81,Earned income,Yes,Full-time working,Intermediate occupations,Owned,Female,1 person,1 adult,No children,Scotland,0.978529928
14592,3.780627154,137.7778824,140.042,Other income,No,Economically inactive,Not classified for other reasons,Public rented,Male,1 person,1 adult,No children,Yorkshire and the Humber,0.72452179
14591,8.692657495,613.684522,484.12,Earned income,Yes,Part-time working,Intermediate occupations,Owned,Female,4 person,3 adults,One child,London,1.665866406
14584,6.121132992,589.4737203,1184.99,Earned income,Yes,Economically inactive,Not classified for other reasons,Public rented,Female,4 person,3 adults,One child,London,1.173057816
14581,4.64492783,630.8561316,829.35,Other income,Yes,Part-time working,Routine and manual occupations,Owned,Male,2 person,2 adults,No children,Eastern,0.890156921
14575,6.397404762,368.925,577.04,Earned income,No,Full-time working,Intermediate occupations,Private rented,Male,2 person,2 adults,No children,Northern Ireland,1.226002714
14572,4.04850611,280.4623488,341.674,Other income,No,Economically inactive,Not classified for other reasons,Owned,Male,2 person,2 adults,No children,Yorkshire and the Humber,0.775858284
14570,4.188209348,466.9238774,970.25,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Public rented,Male,5 person or more,2 adults,Two or more children,North West and Merseyside,0.802631101
14567,4.586547164,97.7710324,170.78,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Female,1 person,1 adult,No children,Wales,0.878968813
14565,5.112267365,236.5822485,470.154,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Female,2 person,2 adults,No children,North West and Merseyside,0.979718167
14564,5.35369233,295.4086341,209.42,Earned income,Yes,Economically inactive,Not classified for other reasons,Public rented,Female,2 person,2 adults,No children,South West,1.025985
14560,5.322306083,255.2984845,207,Other income,No,Unemployed and work related Government Training Programmes,"Higher managerial, administrative and professional occupations",Private rented,Female,3 person,1 adult,Two or more children,Scotland,1.01997012
14559,4.079645232,299.6196196,551.99,Earned income,No,Full-time working,Routine and manual occupations,Owned,Male,2 person,2 adults,No children,East Midlands,0.781825805
14552,5.700141042,553.3318874,516.86,Other income,Yes,Part-time working,Routine and manual occupations,Owned,Female,1 person,1 adult,No children,Eastern,1.092378652
14549,6.186608426,680.5209103,446.75,Earned income,Yes,Part-time working,Routine and manual occupations,Public rented,Female,3 person,3 adults,No children,South West,1.18560557
14548,6.00688394,540.4331352,1069.86,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,4 person,2 adults,Two or more children,South East,1.151163055
14546,3.865554928,139.7080359,181.81,Other income,Yes,Economically inactive,Not classified for other reasons,Public rented,Male,1 person,1 adult,No children,North East,0.740797403
14544,3.28186816,854.5993958,571.077,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Male,2 person,2 adults,No children,Scotland,0.6289393
14542,2.435489383,415.7460525,460.04,Other income,Yes,Part-time working,Intermediate occupations,Public rented,Female,3 person,1 adult,Two or more children,Scotland,0.466738733
14536,3.624799264,238.5631719,355.164,Other income,No,Economically inactive,Not classified for other reasons,Owned,Male,2 person,2 adults,No children,South East,0.694658834
14533,5.386648763,462.1385631,405.695,Earned income,Yes,Full-time working,Intermediate occupations,Private rented,Female,3 person,2 adults,One child,Yorkshire and the Humber,1.032300792
14532,4.455491354,447.0065319,815.315,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,4 person,2 adults,Two or more children,South East,0.853853194
14532,4.587806044,1175,1184.99,Earned income,Yes,Full-time working,Routine and manual occupations,Owned,Male,4 person,4 and more adults,No children,North West and Merseyside,0.879210066
14530,6.11368062,124.87,228.105,Other income,Yes,Economically inactive,Not classified for other reasons,Private rented,Male,1 person,1 adult,No children,London,1.171629639
14530,3.815219579,341.3459465,643.895,Earned income,Yes,Full-time working,Intermediate occupations,Owned,Female,1 person,1 adult,No children,West Midlands,0.731151105
14527,4.047316565,305.8376628,384.244,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Male,2 person,2 adults,No children,East Midlands,0.775630318
14526,5.597253186,334.5656358,582.0245,Other income,No,Economically inactive,Not classified for other reasons,Owned,Female,1 person,1 adult,No children,South East,1.072661157
14526,5.939113095,136.0546842,474.79,Earned income,Yes,Economically inactive,Intermediate occupations,Owned,Male,2 person,2 adults,No children,Yorkshire and the Humber,1.138175408
14521,4.178597326,291.7449423,379.174,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Male,2 person,2 adults,No children,South West,0.800789047
14519,5.323785272,121.4638462,120.892,Other income,Yes,Economically inactive,Not classified for other reasons,Public rented,Female,1 person,1 adult,No children,South East,1.020253593
14507,4.684736649,477.3827306,318.77,Other income,Yes,Economically inactive,Routine and manual occupations,Private rented,Female,4 person,2 adults,Two or more children,South East,0.897785909
14506,5.875955,395.651348,497,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Private rented,Male,1 person,1 adult,No children,South East,1.12607175
14499,6.161906941,514.724655,1184.99,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,2 person,2 adults,No children,South East,1.180871762
14489,4.032120078,324.4557477,299.39,Other income,Yes,Full-time working,Intermediate occupations,Public rented,Female,2 person,1 adult,One child,South East,0.772718054
14488,4.321385344,83.185,159.55,Other income,No,Economically inactive,Not classified for other reasons,Private rented,Female,1 person,1 adult,No children,North West and Merseyside,0.828153033
14484,3.761794654,616.3880296,630.489,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Male,2 person,2 adults,No children,South West,0.720912718
14484,5.347515415,249.8947114,290.552,Other income,Yes,Part-time working,Intermediate occupations,Owned,Female,1 person,1 adult,No children,Yorkshire and the Humber,1.024801252
14482,3.55437228,158.116789,79.312,Other income,No,Economically inactive,Not classified for other reasons,Owned,Female,1 person,1 adult,No children,South West,0.681162163
14469,4.279750053,272.8110546,174.89,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Female,1 person,1 adult,No children,West Midlands,0.82017402
14468,6.834725061,235.3927339,341.56,Earned income,Yes,Full-time working,Intermediate occupations,Owned,Female,2 person,2 adults,No children,East Midlands,1.309811054
14461,4.052381428,177.0704737,140.59,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Female,1 person,1 adult,No children,East Midlands,0.776600952
14460,3.792370512,257.5214913,297.82,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Male,1 person,1 adult,No children,Eastern,0.726772295
14458,6.195331331,803.4036905,978.78,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Private rented,Male,3 person,1 adult,Two or more children,South East,1.187277233
14453,3.183274694,287.7859647,489.24,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Male,2 person,2 adults,No children,Eastern,0.610044785
14450,6.197701218,326.5083775,577.37,Earned income,Yes,Full-time working,Intermediate occupations,Public rented,Male,2 person,2 adults,No children,South East,1.1877314
14449,5.393740029,611.5513891,521.785,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Female,3 person,3 adults,No children,London,1.033659767
14446,3.578632903,275.1618665,384.66,Earned income,Yes,Full-time working,Intermediate occupations,Private rented,Female,1 person,1 adult,No children,South East,0.685811484
14446,7.19888023,213.9980529,169.212,Other income,Yes,Economically inactive,Not classified for other reasons,Public rented,Female,1 person,1 adult,No children,North East,1.379597982
14446,4.045891926,562.150052,662.152,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Female,1 person,1 adult,No children,South East,0.7753573
